is_hr,launch_angle,launch_speed,bat_speed,swing_length,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,33,91.3,76.3,8.2,-0.45,1.98,9,0,2,1,0
0,-20,71.4,79.2,8,0.26,2.02,9,1,2,0,0
0,36,103.4,72.3,6.4,-0.04,2.75,9,3,2,1,0
0,4,100.8,72.2,8.4,-0.65,1.81,8,2,1,1,0
0,20,102.3,67.8,5.9,-0.4,2.78,8,0,0,1,0
0,28,90.4,79.1,7.7,-0.25,2.08,8,1,2,1,1
0,27,90.4,74.7,8.2,-0.23,1.58,8,1,2,0,1
0,12,76.9,70.4,6.6,-0.94,2.14,7,2,2,0,0
0,8,101.5,74.3,7,-0.15,2.7,7,3,2,1,0
0,-25,90.4,77,6.7,0.17,2.35,6,0,0,1,1
0,16,80.5,69.6,6.6,0.48,3.19,6,0,0,1,0
0,50,93.4,73.8,7.1,-0.5,2.6,6,2,2,1,0
0,68,83.1,80,7.3,-0.7,2.35,5,0,0,0,0
0,7,104.6,78,7.9,-0.11,2.38,5,2,2,1,0
0,-12,91.4,78.2,7.5,0.18,1.43,5,0,0,0,0
0,1,78.9,78.7,8.9,-0.37,1.15,5,1,1,1,0
0,20,68,66.5,6.4,-0.99,2.56,5,0,1,0,0
0,16,92.3,62.8,7.1,-0.41,3.18,5,0,1,1,0
0,38,96.1,78.4,7.2,-0.52,1.83,4,0,1,1,0
1,27,106.8,73.3,7,-0.2,2.63,4,0,0,0,0
0,47,80.8,67.9,7.7,-0.58,2.04,4,0,0,0,0
0,20,80.8,74.9,8.4,0.25,1.76,4,1,2,1,0
1,28,98.2,74.8,6.9,-0.91,2.82,4,2,2,0,0
0,3,103.9,74.5,8,0.55,2.42,4,1,1,0,0
0,14,111.4,77.4,7.2,0.2,2.2,4,0,1,1,0
0,-73,54.7,67.1,7.2,-0.54,2.73,4,2,2,1,0
0,-25,98.9,75.7,7.2,-0.42,2.45,4,3,2,1,0
0,47,100.4,80.2,8.1,0.43,1.42,3,2,2,1,0
0,8,102.3,69.1,5.9,-0.34,3.2,3,2,1,0,0
0,-7,107.4,76.6,6.1,-0.3,2.49,3,1,1,1,0
0,44,100.5,80.3,7.4,0.3,2.24,3,2,0,0,0
0,33,103.1,72.3,7.3,-0.47,2.21,3,0,0,0,0
0,-3,101.3,65.2,7.4,-0.07,2.14,2,3,2,0,0
0,-48,56.4,66.9,7,0.66,2.98,2,0,1,1,0
0,60,91.5,68.3,6.8,-0.58,2.76,2,1,0,1,0
0,-43,76,70.2,7.3,0.13,2.07,2,1,1,1,0
0,21,104.3,75.7,7.6,-0.29,2,1,1,0,1,0
0,-9,98,76.8,7,-0.07,2.37,1,2,1,0,0
0,14,93.5,81.5,7.3,0.47,2.49,1,2,0,1,0
0,0,92,75.8,8.1,0.85,2.06,1,0,1,0,0
0,-7,104.2,69.9,7.2,0.17,2.86,1,3,2,1,0
0,-9,69.9,75.7,6.9,0.84,2.51,1,2,2,1,0
0,13,88.3,74.6,7.1,0.78,2.14,9,2,1,0,0
0,-26,63.3,71.8,7.5,0.9,2.8,9,2,2,0,0
0,10,94.3,68.9,6.4,-0.48,2.83,9,2,2,1,0
0,-21,104.4,77.8,7.5,-0.42,2.03,8,1,0,0,0
0,-1,102,85.9,7.9,-0.16,2.05,8,1,0,1,0
0,49,86.7,70.5,6.8,-0.13,2.26,8,0,0,1,0
0,44,95,72.7,8.2,0.16,1.91,8,0,0,1,0
0,-13,103.6,77.4,7.7,0.31,1.97,8,2,2,0,0
0,-64,62.4,59.6,6.7,0.97,2.31,8,0,2,0,0
0,38,91.1,66.7,6.4,0.22,3.12,7,1,2,0,1
0,53,90.4,69.8,6.5,0.26,2.96,7,0,0,0,1
0,23,101.4,68.4,7.7,0.32,2.03,7,1,1,1,0
0,-9,98.9,70.9,6.5,-0.14,1.75,7,2,2,1,0
0,-12,102.5,68.9,7.3,0.85,1.92,6,3,2,0,1
0,18,80.4,67.3,7.4,-0.98,2.07,6,1,0,1,0
0,59,73.7,72.3,8,1.01,2.35,6,1,1,0,0
0,46,98.4,78.1,7.3,0.33,2.33,5,0,0,0,1
0,18,96.4,69.4,6.8,0.91,2.38,5,2,2,0,1
0,40,95.7,67.8,7.8,0.09,2.05,5,0,1,1,0
0,23,94.2,68.4,7.9,0.32,2.74,5,0,0,0,0
0,30,85.4,74,8.4,0.69,2.24,4,0,2,0,1
0,22,92.9,60.8,6.2,0.11,3.22,4,0,1,0,1
0,34,101.9,70.9,7.4,-0.14,3.46,4,0,1,0,0
0,-14,76.8,69.2,7.8,-0.9,1.97,4,0,2,1,0
0,35,99,69.3,7.5,0.58,3.03,4,2,2,0,0
0,8,80.9,78,6.9,-0.39,2.96,4,2,1,0,0
0,-1,82.3,69.1,7.6,1.11,2.32,3,0,0,0,1
0,62,72.3,77,6.7,-0.35,2.87,3,0,0,0,1
0,1,93.1,62.9,6.2,-0.31,3.2,3,1,1,1,0
0,30,79.6,68.5,8,0.13,2.12,2,2,1,0,1
0,4,88.8,75.4,8,0.33,2.14,2,0,2,0,0
0,12,98,78,7.4,0.75,2.98,2,1,1,0,0
0,36,91.4,71.9,6.5,0.22,2.81,1,1,2,0,1
0,13,100.5,73.4,6.9,-0.05,2.24,1,1,1,0,1
0,29,94.3,67.4,6.7,-0.11,2.26,1,2,1,0,0
0,13,103.9,70.5,7.4,0.05,2.48,1,1,0,1,0
0,13,101.7,75.2,7.1,0.23,2.77,1,2,2,0,0
0,15,96,66.5,6.3,-0.14,2.17,9,2,2,1,0
0,43,87,66.5,7.2,0.29,2.3,9,1,2,0,0
0,-38,80.1,70.2,7,0.54,2.51,8,3,2,0,0
0,1,79,70,7.8,0.46,1.78,8,1,1,0,0
0,61,67,71.9,6.9,0.74,3.02,8,0,2,1,0
0,39,85.7,74.3,6.6,-0.26,2.5,8,1,1,0,0
0,19,72.2,66,7,0.51,2.36,8,0,0,1,0
0,-27,74.8,70.6,6.5,0.18,2.1,8,2,2,1,0
0,24,87.4,66,6.5,-0.08,3.01,8,0,0,1,0
0,-25,84.9,68.9,6.7,-1.32,2.17,8,1,0,0,0
0,-23,83.7,70.2,8.4,-0.51,1.85,8,1,2,1,0
0,33,98.7,74.2,7.4,-0.08,2.21,7,0,0,1,0
0,7,88.3,67.9,7.1,0.69,2.16,6,0,0,0,1
0,15,75.2,74,7.2,-0.55,2.12,6,2,1,0,1
0,-4,86.2,62.3,7.7,0.43,1.78,6,2,2,0,0
0,7,80.6,69.1,6.7,-0.52,2.41,6,2,0,1,0
0,39,96,69.3,6.3,-0.27,3.32,6,1,1,0,0
0,-69,53,73.2,7.7,-0.56,1.34,5,0,1,0,1
0,-5,82.7,67.8,7.1,0.77,1.91,5,1,2,0,1
0,8,90.1,66.8,7,0.86,1.91,5,2,2,0,1
0,83,58.1,65.5,6.5,-1.38,3.31,5,0,0,0,0
0,22,92.8,64.1,8,0.67,1.66,5,1,2,0,0
0,14,100.7,68.8,6.4,0.68,2.75,4,1,2,0,1
0,27,100.6,71.2,7.2,-0.13,1.99,4,0,2,0,1
0,19,80.6,70.5,7.5,-0.64,2.41,4,3,1,1,1
0,44,100.3,72.6,7.7,-0.29,2.51,4,0,1,0,0
0,29,102.6,70.5,7.2,-0.11,3.12,4,0,0,1,0
0,36,83.7,67.7,6,0.2,3.44,3,3,2,0,1
0,-8,87.7,70.1,7.1,-0.55,1.74,3,2,2,0,1
0,23,94.2,66.4,7.5,0.1,1.82,3,0,2,0,0
0,50,83.7,70.2,7.8,-0.03,2.21,2,0,1,0,1
0,35,85.4,70.4,7.5,0.33,2.27,2,1,1,0,0
0,-9,74.4,70.9,7.5,0.47,1.83,1,3,2,0,1
0,53,59.8,70.7,7.5,-0.86,2.51,1,2,1,0,1
0,7,111.5,77.1,7,0.23,2.53,1,0,0,0,1
0,37,77.7,68.3,6.9,-0.57,3.15,1,0,0,0,1
0,38,65,66.8,6.3,-0.12,3.44,1,2,1,1,1
0,-3,93.8,63.8,6.2,-0.67,3.34,9,1,2,1,0
0,-31,62.4,73,7.7,0.2,2.43,9,0,0,0,0
0,22,93.1,68,6.8,-0.57,2.18,9,2,2,1,0
0,47,91.3,63.3,6.9,-0.79,3.07,8,0,2,1,0
0,12,104,72.7,7.1,-0.84,2.28,8,2,1,1,0
0,79,73.1,75.4,7.8,-0.39,1.99,8,2,1,1,0
0,46,77.2,59.3,6.4,-0.95,2.5,8,3,2,1,0
0,8,102.3,75.4,8.1,-0.21,2.11,8,2,1,0,0
0,31,97,72.1,6.7,-0.02,2.58,7,0,0,1,0
0,11,110,77.6,7.4,-0.12,1.8,7,3,2,0,0
0,-1,104.6,75.3,6.7,-0.21,2.25,7,3,2,1,0
1,32,95.3,67.5,7.9,-0.24,3,7,0,1,1,0
0,-21,86.2,73.5,6.8,0.6,2.22,7,1,2,1,0
0,27,94.3,66.7,7.1,-0.87,2.68,7,3,2,1,0
0,3,98.6,78.4,7.8,-0.26,2.3,7,3,1,0,1
0,39,92.4,70.7,7.1,-0.24,2.6,6,2,2,1,0
0,39,99.2,74.3,6.5,0.14,2.63,6,0,0,1,0
0,-30,71.8,74.2,7.8,0.45,2.95,6,1,0,0,0
0,-1,84.6,58.4,5.4,-0.42,3.77,6,2,2,1,0
0,65,77.6,69.6,7.3,1.14,2.66,6,2,2,0,0
0,52,89.2,80.5,8.3,0.05,2.1,6,1,0,0,0
0,46,96.3,74.7,7.6,-0.15,1.91,5,1,1,1,0
0,68,86.2,75.7,7.3,-0.57,2.64,5,0,0,1,0
0,36,68.7,59.3,6.7,0.53,2.59,5,2,2,1,0
0,12,90.6,71.2,7.7,-0.53,3.06,5,1,1,1,0
1,34,92.1,68.2,6.2,0.52,3.01,5,0,2,1,0
